ID,Bloc,Task,FB,IDc_Lvl,R,W,Rep_Geo,Trial_in_Bloc,MT,RMSE,Pct_InT,Mean_Force,Std_Force,Timeout
P01,FVP_NoFB,FVP,0,1,350,100,2,1,1.655,68.37,36.8,3720.9,270.9,0
P01,FVP_NoFB,FVP,0,1,350,5,4,1,5.681,20.43,31.3,3063.2,636.2,0
P01,FVP_NoFB,FVP,0,1,350,5,5,2,4.028,11.78,23.2,3437.5,248.9,0
P01,FVP_NoFB,FVP,0,1,350,5,1,1,5.875,10.04,25.2,3112.1,633.2,0
P01,FVP_NoFB,FVP,0,1,350,5,2,2,4.228,18.83,19.0,3851.4,242.1,0
P01,VP_NoFB,VP,0,1,350,5,2,1,2.098,28.98,15.6,4588.0,291.8,0
P01,VP_NoFB,VP,0,1,350,5,1,2,1.8,29.0,14.9,4631.1,164.5,0
P01,FVP_FB,FVP,1,1,350,5,1,1,5.664,6.24,26.5,3371.7,235.4,0
P01,FVP_FB,FVP,1,1,350,5,2,2,4.947,12.42,13.0,3558.2,348.9,0
P01,VP_FB,VP,1,1,350,5,1,1,2.096,26.29,15.3,3848.5,234.3,0
P01,VP_FB,VP,1,1,350,5,2,2,3.135,10.07,17.9,4267.5,226.2,0
P01,FVP_NoFB,FVP,0,1,350,5,1,1,2.784,21.77,10.6,3895.9,266.7,0
P01,FVP_NoFB,FVP,0,1,350,5,2,2,2.352,23.38,20.4,3603.8,322.9,0
P01,VP_NoFB,VP,0,1,350,5,1,1,2.527,16.25,16.1,4135.0,277.5,0
P01,VP_NoFB,VP,0,1,350,5,2,2,2.576,12.36,16.5,4027.2,229.3,0
P01,VP_FB,VP,1,1,350,5,8,1,3.321,11.23,16.7,4210.6,191.2,0
P01,VP_FB,VP,1,1,350,5,4,2,4.831,7.31,23.9,4382.9,174.1,0
P01,VP_FB,VP,1,1,350,5,10,3,7.496,6.37,34.2,4064.5,267.4,0
P01,VP_FB,VP,1,1,350,5,3,4,6.08,7.42,37.2,3918.0,193.7,0
P01,VP_FB,VP,1,1,350,5,9,5,5.486,9.29,21.7,3752.3,219.0,0
P01,VP_FB,VP,1,1,350,5,1,6,4.587,8.53,20.8,3924.6,179.6,0
P01,VP_FB,VP,1,1,350,5,7,7,4.541,8.34,13.9,4214.3,194.9,0
P01,VP_FB,VP,1,1,350,5,2,8,4.598,10.54,30.8,4466.7,185.2,0
P01,VP_FB,VP,1,1,350,5,5,9,3.046,10.04,19.5,4490.8,185.5,0
P01,VP_FB,VP,1,1,350,5,6,10,2.973,10.42,18.8,4246.0,131.0,0
P01,FVP_NoFB,FVP,0,1,350,5,3,1,3.28,7.96,17.8,3340.6,228.2,0
P01,FVP_NoFB,FVP,0,1,350,5,9,2,2.576,12.6,28.0,3954.6,284.1,0
P01,FVP_NoFB,FVP,0,1,350,5,2,3,3.168,10.3,23.7,3449.1,239.5,0
P01,FVP_NoFB,FVP,0,1,350,5,4,4,2.607,18.63,11.0,3800.8,160.1,0
P01,FVP_NoFB,FVP,0,1,350,5,6,5,2.417,19.77,9.6,3713.1,256.7,0
P01,FVP_NoFB,FVP,0,1,350,5,5,6,2.129,21.46,13.2,4297.6,205.9,0
P01,FVP_NoFB,FVP,0,1,350,5,1,7,2.272,16.53,22.2,3218.1,502.4,0
P01,FVP_NoFB,FVP,0,1,350,5,7,8,2.569,19.38,21.8,3412.6,247.2,0
P01,FVP_NoFB,FVP,0,1,350,5,8,9,1.849,20.86,6.9,3887.7,270.5,0
P01,FVP_NoFB,FVP,0,1,350,5,10,10,4.056,12.05,23.9,3424.3,210.4,0
P01,VP_NoFB,VP,0,1,350,5,9,1,2.104,15.34,12.2,4064.3,297.4,0
P01,VP_NoFB,VP,0,1,350,5,6,2,3.576,11.6,17.9,3787.1,175.2,0
P01,VP_NoFB,VP,0,1,350,5,7,3,0.975,51.97,1.6,4661.0,256.9,0
P01,VP_NoFB,VP,0,1,350,5,5,4,2.04,29.46,5.1,4688.3,201.8,0
P01,VP_NoFB,VP,0,1,350,5,10,5,1.463,12.88,9.8,4821.7,310.9,0
P01,VP_NoFB,VP,0,1,350,5,2,6,1.386,27.82,28.3,4649.2,287.2,0
P01,VP_NoFB,VP,0,1,350,5,8,7,1.369,31.33,32.7,4559.1,245.9,0
P01,VP_NoFB,VP,0,1,350,5,1,8,1.344,23.62,30.4,4590.3,272.7,0
P01,VP_NoFB,VP,0,1,350,5,4,9,1.376,21.82,2.9,4690.2,293.2,0
P01,VP_NoFB,VP,0,1,350,5,3,10,1.12,36.25,12.1,4779.1,484.6,0
P01,FVP_FB,FVP,1,1,350,5,4,1,2.695,21.46,24.3,3770.5,369.6,0
P01,FVP_FB,FVP,1,1,350,5,3,2,1.768,13.83,12.3,4026.1,448.4,0
P01,FVP_FB,FVP,1,1,350,5,6,3,1.829,26.42,15.4,4222.5,330.8,0
P01,FVP_FB,FVP,1,1,350,5,10,4,2.398,13.95,13.4,3913.5,398.5,0
P01,FVP_FB,FVP,1,1,350,5,2,5,2.951,13.28,22.5,3938.4,336.3,0
P01,FVP_FB,FVP,1,1,350,5,5,6,2.576,29.38,47.0,2958.7,1984.3,0
P01,FVP_FB,FVP,1,1,350,5,7,7,2.78,23.49,26.1,4034.0,244.4,0
P01,FVP_FB,FVP,1,1,350,5,1,8,2.651,29.08,7.9,3668.0,317.7,0
P01,FVP_FB,FVP,1,1,350,5,8,9,3.719,15.5,19.6,3569.9,448.3,0
P01,FVP_FB,FVP,1,1,350,5,9,10,3.62,10.18,14.9,3546.0,328.5,0
